"Geneid";"Entity";"t0";"t1";"t4";"t7";"t10";"t20";"Gene";"Gene Type";"Funtion/Product"
"gene-b3927";"U00096.3";"+";"-";"-";"-";"-";"-";"glpF";"protein_coding";"glycerol facilitator"
"gene-b3928";"U00096.3";"+";"+";"+";"-";"-";"-";"zapB";"protein_coding";"cell division factor ZapB"
"gene-b3955";"U00096.3";"-";"-";"+";"-";"-";"+";"eptC";"protein_coding";"phosphoethanolamine transferase EptC"
"gene-b3963";"U00096.3";"+";"+";"+";"-";"-";"-";"fabR";"protein_coding";"DNA-binding transcriptional repressor FabR"
"gene-b3976";"U00096.3";"-";"+";"-";"-";"+";"-";"thrU";"tRNA";"tRNA-Thr"
"gene-b3977";"U00096.3";"-";"+";"-";"-";"-";"-";"tyrU";"tRNA";"tRNA-Tyr"
"gene-b4060";"U00096.3";"-";"+";"+";"+";"-";"-";"yjcB";"protein_coding";"uncharacterized protein YjcB"
"gene-b4112";"U00096.3";"+";"+";"+";"-";"-";"-";"basS";"protein_coding";"sensor histidine kinase BasS"
"gene-b4139";"U00096.3";"+";"+";"+";"-";"-";"+";"aspA";"protein_coding";"aspartate ammonia-lyase"
"gene-b4140";"U00096.3";"+";"-";"+";"-";"-";"-";"fxsA";"protein_coding";"protein FxsA"
"gene-b4144";"U00096.3";"+";"+";"-";"-";"-";"-";"yjeI";"protein_coding";"DUF4156 domain-containing lipoprotein YjeI"
"gene-b4177";"U00096.3";"-";"+";"-";"-";"-";"-";"purA";"protein_coding";"adenylosuccinate synthetase"
"gene-b4206";"U00096.3";"+";"-";"-";"-";"-";"-";"ytfB";"protein_coding";"cell division protein YtfB"
"gene-b4221";"U00096.3";"+";"+";"+";"-";"-";"-";"tamB";"protein_coding";"translocation and assembly module subunit TamB"
"gene-b4246";"U00096.3";"-";"+";"-";"-";"-";"-";"pyrL";"protein_coding";"pyrBI operon leader peptide"
"gene-b4255";"U00096.3";"+";"-";"+";"-";"-";"-";"rraB";"protein_coding";"ribonuclease E inhibitor protein B"
"gene-b4396";"U00096.3";"+";"+";"+";"-";"-";"-";"rob";"protein_coding";"DNA-binding transcriptional dual regulator Rob"
"gene-b4426";"U00096.3";"+";"+";"+";"+";"+";"+";"mcaS";"ncRNA";"small regulatory RNA McaS"
"gene-b4432";"U00096.3";"+";"+";"+";"-";"-";"-";"ryeA";"ncRNA";"small antisense RNA RyeA"
"gene-b4441";"U00096.3";"+";"+";"+";"+";"+";"+";"glmY";"ncRNA";"small regulatory RNA GlmY"
"gene-b4443";"U00096.3";"+";"+";"+";"+";"+";"+";"gcvB";"ncRNA";"small regulatory RNA GcvB"
"gene-b4447";"U00096.3";"+";"-";"+";"-";"-";"-";"sibD";"ncRNA";"small RNA SibD"
"gene-b4452";"U00096.3";"+";"+";"+";"+";"-";"-";"gadY";"ncRNA";"small regulatory RNA GadY"
"gene-b4456";"U00096.3";"+";"+";"+";"-";"-";"-";"glmZ";"ncRNA";"small regulatory RNA GlmZ"
"gene-b4457";"U00096.3";"+";"+";"+";"+";"+";"+";"csrC";"ncRNA";"small regulatory RNA CsrC"
"gene-b4458";"U00096.3";"+";"-";"+";"+";"-";"+";"oxyS";"ncRNA";"small regulatory RNA OxyS"
"gene-b4517";"U00096.3";"+";"-";"-";"-";"-";"-";"gnsA";"protein_coding";"putative phosphatidylethanolamine synthesis regulator GnsA"
"gene-b4532";"U00096.3";"-";"-";"-";"-";"-";"+";"hicA";"protein_coding";"mRNA interferase toxin HicA"
"gene-b4558";"U00096.3";"-";"+";"-";"-";"-";"-";"yifL";"protein_coding";"putative lipoprotein YifL"
"gene-b4585";"U00096.3";"-";"-";"+";"+";"-";"+";"chiX";"ncRNA";"small regulatory RNA ChiX"
"gene-b4606";"U00096.3";"+";"+";"+";"+";"-";"-";"ypfM";"protein_coding";"uncharacterized protein YpfM"
"gene-b4611";"U00096.3";"+";"+";"+";"-";"-";"-";"sibE";"ncRNA";"small RNA SibE"
"gene-b4624";"U00096.3";"+";"-";"+";"-";"-";"-";"ryjB";"ncRNA";"small RNA RyjB"
"gene-b4663";"U00096.3";"-";"-";"+";"-";"-";"-";"azuC";"protein_coding";"uncharacterized protein AzuC"
"gene-b4698";"U00096.3";"+";"+";"+";"+";"+";"+";"mgrR";"ncRNA";"small regulatory RNA MgrR"
"gene-b4703";"U00096.3";"+";"+";"+";"-";"-";"-";"pmrR";"protein_coding";"small regulatory membrane protein PmrR"
"gene-b4725";"U00096.3";"-";"+";"+";"-";"-";"-";"rseD";"protein_coding";"rpoE leader peptide"
"gene-b4736";"U00096.3";"+";"+";"+";"-";"-";"-";"yliM";"protein_coding";"protein YliM"
"gene-b4799";"U00096.3";"+";"-";"+";"+";"-";"-";"ysgD";"protein_coding";"protein YsgD"
"gene-b4804";"U00096.3";"+";"-";"-";"-";"-";"-";"rbsZ";"ncRNA";"small regulatory RNA RbsZ"
"gene-T4p004";"NC_000866.4";"-";"-";"+";"-";"+";"+";"60.1";"protein_coding";"gp60.1 hypothetical protein"
"gene-T4p010";"NC_000866.4";"-";"+";"+";"-";"-";"-";"cef";"protein_coding";"cytochrome C biogenesis protein CcmE"
"gene-T4p013";"NC_000866.4";"-";"+";"+";"-";"-";"-";"motB.2";"protein_coding";"MotB.2 hypothetical protein"
"gene-T4p018";"NC_000866.4";"-";"-";"+";"+";"+";"+";"dda.1";"protein_coding";"Dda.1 hypothetical protein"
"gene-T4p019";"NC_000866.4";"-";"-";"+";"+";"+";"+";"srd";"protein_coding";"Srd anti-sigma factor%2C putative"
"gene-T4p020";"NC_000866.4";"-";"-";"-";"-";"+";"+";"modA";"protein_coding";"ModA RNA polymerase ADP-ribosylase"
"gene-T4p025";"NC_000866.4";"-";"-";"-";"+";"-";"-";"srh";"protein_coding";"Srh transcription modulator"
"gene-T4p028";"NC_000866.4";"-";"-";"+";"+";"+";"-";"mrh.2";"protein_coding";"Mrh.2 hypothetical protein"
"gene-T4p031";"NC_000866.4";"-";"-";"+";"-";"+";"+";"56";"protein_coding";"dUTP diphosphatase"
"gene-T4p032";"NC_000866.4";"-";"-";"+";"+";"-";"-";"dam";"protein_coding";"Dam family site-specific DNA-(adenine-N6)-methyltransferase"
"gene-T4p034";"NC_000866.4";"-";"-";"-";"+";"+";"-";"61.1";"protein_coding";"gp61.1 hypothetical protein"
"gene-T4p036";"NC_000866.4";"-";"+";"+";"-";"-";"-";"sp";"protein_coding";"sp spackle periplasmic protein"
"gene-T4p043";"NC_000866.4";"-";"-";"-";"-";"+";"-";"b-gt";"protein_coding";"b-gt beta glucosyl transferase"
"gene-T4p046";"NC_000866.4";"-";"+";"+";"-";"-";"-";"imm.1";"protein_coding";"iduronate sulfatase"
"gene-T4p047";"NC_000866.4";"-";"-";"+";"+";"-";"-";"43";"protein_coding";"DNA polymerase"
"gene-T4p054";"NC_000866.4";"-";"-";"+";"+";"-";"-";"46";"protein_coding";"AAA family ATPase"
"gene-T4p057";"NC_000866.4";"-";"-";"+";"-";"-";"-";"47";"protein_coding";"metallophosphoesterase"
"gene-T4p060";"NC_000866.4";"-";"-";"+";"-";"-";"-";"mobB";"protein_coding";"MobB homing endonuclease"
"gene-T4p063";"NC_000866.4";"-";"-";"-";"+";"-";"-";"a-gt.4";"protein_coding";"a-gt.4 family protein"
"gene-T4p070";"NC_000866.4";"-";"-";"-";"+";"-";"-";"55.5";"protein_coding";"gp55.5 conserved protein of unknown function"
"gene-T4p071";"NC_000866.4";"-";"+";"+";"+";"+";"+";"55.6";"protein_coding";"gp55.6 conserved hypothetical protein"
"gene-T4p074";"NC_000866.4";"-";"-";"+";"+";"+";"+";"nrdG";"protein_coding";"anaerobic ribonucleoside-triphosphate reductase activating protein"
"gene-T4p078";"NC_000866.4";"-";"-";"-";"-";"-";"+";"49";"protein_coding";"recombination endonuclease VII"
"gene-T4p088";"NC_000866.4";"-";"+";"+";"+";"+";"-";"nrdC.4";"protein_coding";"NrdC.4 conserved hypothetical protein"
"gene-T4p091";"NC_000866.4";"-";"-";"-";"+";"-";"-";"nrdC.7";"protein_coding";"NrdC.7 conserved hypothetical%2C predicted membrane protein"
"gene-T4p092";"NC_000866.4";"-";"+";"+";"+";"-";"+";"nrdC.8";"protein_coding";"NrdC.8 conserved hypothetical protein"
"gene-T4p094";"NC_000866.4";"-";"+";"+";"-";"-";"-";"nrdC.10";"protein_coding";"NrdC.10 conserved hypothetical protein"
"gene-T4p095";"NC_000866.4";"-";"-";"-";"-";"+";"-";"nrdC.11";"protein_coding";"nucleotidyltransferase domain-containing protein"
"gene-T4p096";"NC_000866.4";"-";"-";"-";"-";"+";"-";"mobD";"protein_coding";"HNH endonuclease"
"gene-T4p097";"NC_000866.4";"-";"-";"-";"+";"-";"-";"mobD.1";"protein_coding";"MobD.1 conserved hypothetical protein"
"gene-T4p102";"NC_000866.4";"-";"+";"+";"+";"+";"-";"mobD.5";"protein_coding";"MobD.5 hypothetical protein"
"gene-T4p104";"NC_000866.4";"-";"-";"-";"-";"-";"+";"rI";"protein_coding";"rI lysis inhibition regulator%2C membrane protein"
"gene-T4p109";"NC_000866.4";"-";"-";"-";"+";"+";"-";"tk.3";"protein_coding";"Tk.2 conserved hypothetical protein"
"gene-T4p110";"NC_000866.4";"-";"-";"+";"+";"+";"+";"tk.4";"protein_coding";"macro domain-containing protein"
"gene-T4p111";"NC_000866.4";"-";"-";"-";"-";"-";"+";"vs";"protein_coding";"Vs valyl-tRNA synthetase modifier"
"gene-T4p113";"NC_000866.4";"-";"-";"+";"-";"-";"-";"regB";"protein_coding";"site-specific RNA endonuclease"
"gene-T4p128";"NC_000866.4";"-";"-";"-";"-";"-";"+";"e.5";"protein_coding";"e.5 conserved hypothetical protein"
"gene-T4p131";"NC_000866.4";"-";"+";"+";"-";"-";"-";"e.8";"protein_coding";"e.8 conserved hypothetical protein"
"gene-T4p139";"NC_000866.4";"-";"-";"-";"+";"+";"-";"1";"protein_coding";"deoxynucleoside monophosphate kinase"
"gene-T4p141";"NC_000866.4";"-";"-";"-";"-";"-";"+";"2";"protein_coding";"DNA end protector protein"
"gene-T4p143";"NC_000866.4";"-";"-";"-";"-";"+";"+";"53";"protein_coding";"baseplate wedge protein 53"
"gene-T4p151";"NC_000866.4";"-";"-";"-";"+";"+";"-";"6";"protein_coding";"baseplate wedge subunit"
"gene-T4p153";"NC_000866.4";"-";"-";"-";"-";"-";"+";"8";"protein_coding";"baseplate wedge subunit"
"gene-T4p156";"NC_000866.4";"-";"-";"-";"+";"-";"-";"11";"protein_coding";"tail protein"
"gene-T4p167";"NC_000866.4";"-";"-";"-";"+";"+";"-";"18";"protein_coding";"tail sheath subtilisin-like domain-containing protein"
"gene-T4p174";"NC_000866.4";"-";"-";"-";"-";"+";"-";"22";"protein_coding";"prohead core protein"
"gene-T4p176";"NC_000866.4";"-";"-";"-";"+";"+";"-";"segD";"protein_coding";"SegD homing endonuclease"
"gene-T4p185";"NC_000866.4";"-";"-";"-";"-";"+";"+";"uvsY.-2";"protein_coding";"DUF2685 domain-containing protein"
"gene-T4p187";"NC_000866.4";"-";"-";"-";"+";"-";"-";"uvsY";"protein_coding";"recombination mediator protein UvsY"
"gene-T4p191";"NC_000866.4";"-";"-";"-";"-";"+";"+";"51";"protein_coding";"baseplate hub assembly protein"
"gene-T4p197";"NC_000866.4";"-";"-";"+";"+";"+";"-";"alt.-3";"protein_coding";"Alt.-3 conserved hypothetical protein"
"gene-T4p211";"NC_000866.4";"-";"+";"+";"-";"+";"+";"30.8";"protein_coding";"gp30.8 conserved hypothetical protein"
"gene-T4p213";"NC_000866.4";"-";"-";"-";"-";"-";"+";"rIII";"protein_coding";"rIII lysis inhibition accessory protein%2C rapid lysis phenotype"
"gene-T4p214";"NC_000866.4";"-";"-";"+";"+";"+";"+";"31";"protein_coding";"co-chaperone GroES family protein"
"gene-T4p219";"NC_000866.4";"-";"+";"+";"+";"+";"-";"cd.2";"protein_coding";"Cd.2 conserved hypothetical protein"
"gene-T4p227";"NC_000866.4";"-";"+";"+";"+";"+";"+";"alc";"protein_coding";"Alc inhibitor of host transcription"
"gene-T4p230";"NC_000866.4";"-";"-";"-";"+";"-";"+";"nrdB";"protein_coding";"ribonucleotide-diphosphate reductase subunit beta"
"gene-T4p235";"NC_000866.4";"-";"-";"-";"+";"-";"-";"nrdA.1";"protein_coding";"DUF4326 domain-containing protein"
"gene-T4p237";"NC_000866.4";"-";"-";"+";"-";"-";"-";"td";"protein_coding";"thymidylate synthase"
"gene-T4p240";"NC_000866.4";"-";"+";"-";"+";"-";"-";"frd.1";"protein_coding";"DUF5417 domain-containing protein"
"gene-T4p242";"NC_000866.4";"-";"+";"+";"+";"-";"+";"frd.3";"protein_coding";"Frd.3 hypothetical protein"
"gene-T4p244";"NC_000866.4";"-";"-";"+";"+";"-";"-";"SegG";"protein_coding";"SegG homing endonuclease"
"gene-T4p245";"NC_000866.4";"-";"-";"+";"+";"+";"+";"59";"protein_coding";"59 protein"
"gene-T4p247";"NC_000866.4";"-";"-";"+";"+";"+";"-";"dsbA";"protein_coding";"double-stranded DNA binding protein"
"gene-T4p249";"NC_000866.4";"-";"-";"-";"-";"-";"+";"34";"protein_coding";"tail protein"
"gene-T4p253";"NC_000866.4";"-";"-";"-";"-";"-";"+";"38";"protein_coding";"gp38 distal long tail fiber assembly catalyst"
"gene-T4p254";"NC_000866.4";"-";"-";"-";"-";"-";"+";"t";"protein_coding";"t holin lysis mediator"
"gene-T4p261";"NC_000866.4";"-";"-";"-";"-";"-";"+";"arn.4";"protein_coding";"Arn.4 conserved hypothetical protein"
"gene-T4p262";"NC_000866.4";"-";"+";"+";"-";"-";"-";"motA";"protein_coding";"flagellar motor protein MotA"
"gene-T4p264";"NC_000866.4";"-";"-";"-";"-";"+";"-";"52";"protein_coding";"DNA topisomerase II medium subunit"
